"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,1.585,186,0.45,-4.87400750364887,13.8782591293901
"2",2,2.996,1422,4.645,3.20365660191804,13.5473106779706
"3",3,1.891,388,2.164,-0.463424919799579,13.6313306345854
"4",4,2.456,2364,2.01,5.36222504747521,10.2409879217553
"5",5,1.88,212,1.429,-8.72448378120299,9.63515837643999
"6",6,2.995,1433,5.62,-5.25923702672021,9.02198053334852
"7",7,2.019,1567,3.258,-0.77555863125547,7.63217086340054
"8",8,1.704,431,1.816,-9.7139467856883,6.20208858327132
"9",9,2.528,155,1.096,11.7197026466829,6.01346654380207
"10",10,2.999,13009,8.322,3.15873076963595,5.88455979209354
"11",11,2.37,7556,5.459,-2.22455812713887,5.23172711852475
"12",12,1.813,422,0.853,-11.0102420435359,4.06909252704937
"13",13,2.999,53148,8.774,3.78235553058096,3.54236861644998
"14",14,2.998,1584,4.909,-7.72617293538358,2.65261290149009
"15",15,2.131,14013,5.5,-4.73014385857543,2.75605102196166
"16",16,2.996,231,1.544,12.8830305208141,2.87978325352604
"17",17,2.999,152491,5.903,1.8104668159986,-0.293841455061085
"18",18,2.338,3530,5.502,8.16136960181211,-1.72587589901264
"19",19,2.995,1081,4.245,13.5673805239475,-2.07514253232491
"20",20,2.997,7662,4.206,-4.15820579175152,-3.43515978055902
"21",21,2.999,11452,8.184,-1.45123875995702,-6.66796357111053
"22",22,2.979,1720,5.594,-10.138636318529,-7.33955755606072
"23",23,2.639,1758,5.526,-6.7371978371602,-9.28487127646551
"24",24,1.922,1776,2.327,2.92350152712805,-11.7104125903621
"25",25,2.999,816,4.934,-6.32299507096946,-12.1969329083645
"26",26,2.193,148,1.253,3.77087927559103,-13.4199788090692
