"","treeID","Z","npoints","convhull_area","X","Y"
"1",5,1.908,259,0.851,4.66950010458457,12.0463927330571
"2",6,0.217,101,0.126,-7.21616144492614,10.2069985826799
"3",13,1.043,193,0.78,-9.76862707036319,7.23729744910319
"4",20,1.484,1978,2.471,9.31109402867593,5.1905830190084
"5",27,0.482,138,0.088,7.79552607972096,2.37170241989718
"6",30,0.495,606,0.188,6.23399581208111,1.73788504065084
"7",32,0.915,1788,1.739,11.3141516123314,0.80143369965835
"8",35,0.852,2290,0.228,5.24065829732536,0.250210936192633
"9",40,0.631,1364,1.113,-4.6018412865897,-2.77854269521088
"10",48,0.525,521,0.23,-4.75061300344181,-4.75211333529179
"11",49,0.88,1109,1.866,-7.30316080659439,-5.30211253827826
"12",53,0.274,191,0.154,2.82109965583215,-7.7635533384281
"13",54,1.297,503,1.234,-9.32241371762993,-8.26857005650793
"14",55,0.395,139,0.157,-7.19708550244367,-8.78756849987189
"15",64,0.931,628,1.201,5.29027137351845,-11.7952261748402
