"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.998,1108,2.636,4.91960322119362,11.3184535258417
"2",2,2.877,188,0.963,6.19962226816369,10.7362626230096
"3",3,2.996,1042,5.333,0.419534818051453,8.02396753356837
"4",4,2.999,9955,9.071,-11.752235139632,6.31094316556642
"5",5,2.99,327,1.036,-4.53972123671104,6.17088603339698
"6",6,1.524,6970,2.147,2.73286832950818,5.22380702910819
"7",7,2.997,6618,7.328,-12.6666102714702,3.90042837687713
"8",8,2.997,43,0.188,-9.65184788945362,1.87027694785667
"9",9,2.159,1309,2.35,-8.29946644204228,0.539165132258123
"10",10,2.743,3728,6.078,-7.75592445574435,-1.89818812470443
"11",11,2.999,12682,9.742,-5.21861506005913,-4.7281720924728
"12",12,2.998,278,0.417,-10.2979573735064,-7.9862520938134
"13",13,2.993,942,4.538,-8.58040078446943,-9.25072179781266
"14",14,2.947,110,0.447,-9.38455914753128,-10.9241027316988
