"","treeID","Z","npoints","convhull_area","X","Y"
"1",6,1.107,201,0.736,7.05322769827117,10.5988677171318
"2",11,0.551,125,0.204,10.7417347350343,8.74626255969905
"3",12,0.328,167,0.241,3.25334020945028,8.25130958186861
"4",14,0.174,350,0.211,0.235516909800213,6.26891234897742
"5",21,0.461,344,0.229,6.25783194212333,2.74609136401204
"6",22,0.728,638,0.208,6.71601540364624,1.75200093797575
"7",23,1.501,5596,2.157,-8.76439152224893,1.25927906360732
"8",24,0.521,6835,0.243,1.24735835775678,1.24750607773241
"9",27,1.202,10068,1.663,4.24748467396041,-1.24715010646847
"10",28,1.814,4788,1.979,-8.73869608291419,-1.80413630182032
"11",29,0.365,261,0.216,7.7513380362832,-1.75031755477456
"12",31,0.236,1287,0.244,-2.2502469538756,-2.74981015797446
"13",32,0.618,451,0.236,-7.24614308218085,-3.74433849427182
"14",34,0.624,1271,1.541,6.39284082772594,-5.20717408274988
"15",36,0.681,2050,2.077,-5.23672512908083,-6.21370778392064
"16",44,0.751,982,1.046,1.36306407654309,-10.0431042792584
