"","treeID","Z","npoints","convhull_area","X","Y"
"1",6,1.973,394,2.02,-2.76601283393536,11.2286027826138
"2",14,0.53,131,0.145,-1.2156722089825,8.71427607345061
"3",16,0.487,144,0.15,-2.173219242363,7.71801118783469
"4",21,0.196,100,0.199,6.74834052548297,3.76852429892231
"5",24,0.486,226,0.192,-7.73197813383436,2.71902960343763
"6",25,0.884,8183,1.675,-1.2570901079506,2.75735521207201
"7",26,0.362,108,0.079,11.8292276647794,2.78644718148536
"8",27,0.507,648,0.235,4.26051679849886,1.74375111089364
"9",28,0.18,389,0.212,-6.26586767585533,1.23512617216579
"10",29,0.704,3796,0.243,1.74770894916534,1.25238013210493
"11",31,0.384,304,0.193,10.7119970376465,0.254680964442271
"12",34,0.186,133,0.173,-9.72962787444884,-0.237603568903333
"13",35,0.541,217,0.196,-6.73629674371089,-0.257954843570425
"14",37,0.386,569,0.222,-4.24759758310334,-1.24222130873213
"15",40,0.109,7032,0.244,0.245325120115666,-1.74616224225002
"16",41,0.449,178,0.195,-7.73081676625812,-2.21242374390328
"17",42,0.294,2255,0.212,0.72143173922435,-2.73972959214531
"18",44,0.216,688,0.238,-2.24467909851284,-4.74329691609378
"19",45,0.594,552,0.266,3.73249125223964,-5.31489719687731
