"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.994,176,2.842,-9.8919463644663,9.42527949804213
"2",2,2.999,2780,5.959,0.645966899745347,9.1251507255465
"3",3,2.998,3701,8.446,-7.16139596483378,8.79632706359858
"4",4,2.999,3813,8.484,8.81998026752049,8.2511616018659
"5",5,2.551,1155,4.078,-12.523031947592,5.51739656036023
"6",6,2.999,1620,2.377,9.04242536671334,6.51103274631849
"7",7,2.993,20482,7.427,-0.142472046015057,5.46049721867564
"8",8,2.355,8984,5.032,4.66517681699593,5.34409929001697
"9",9,2.999,38010,8.201,-2.024757462753,4.18266168509618
"10",10,2.76,6624,4.126,-5.84407821707519,3.85933050436527
"11",11,2.987,1011,3.29,-10.5533426144199,2.16723012895411
"12",12,2.999,152264,6.249,0.0930451536671777,2.16945001135367
"13",13,2.999,22712,5.124,3.75455215694157,0.171752492934552
"14",14,2.899,155593,9.872,-3.2572786300546,-0.216678869922648
"15",15,2.013,2176,2.006,7.70096157179842,-0.243768539105523
"16",16,2.663,1371,4.741,10.7271883973485,-0.315464097940582
"17",17,2.182,1703,3.592,13.1088547883881,-0.251439980824527
"18",18,2.999,2750,7.274,-9.83318885744206,-1.43535310522294
"19",19,2.777,17065,7.082,5.04493652190731,-1.75598853522265
"20",20,2.98,1223,4.273,9.70235317332715,-2.06315008850227
"21",21,2.999,149408,9.29,-0.698681712099228,-2.682198679247
"22",22,2.973,363,4.549,13.4831270147036,-3.0640226020962
"23",23,2.988,7512,8.435,-7.25764642259667,-4.08465969408773
"24",24,2.999,31355,9.947,2.73134217528601,-4.23465720215006
"25",25,1.979,35,0.459,-12.812683036744,-5.31051137195333
"26",26,2.998,14555,6.447,-4.51726265273308,-4.40230216940779
"27",27,2.999,955,0.716,-5.03993294411777,-7.18723136863277
"28",28,2.998,5173,8.156,6.18626542980825,-7.1748588466825
"29",29,2.995,1322,8.268,1.77655472154419,-7.55238843182553
"30",30,2.999,3725,6.398,-8.48200867963361,-9.60400979701742
"31",31,2.973,237,2.929,0.924839586470031,-9.62791076751197
"32",33,2.976,111,0.22,-0.763553816004025,-9.21213738749475
"33",34,2.969,1278,5.146,6.59468953258965,-10.3388431766061
"34",35,2.999,171,0.268,-5.97281551150682,-13.140344883066
"35",36,2.085,107,0.078,-1.2562295460336,-12.7979879266306
