"","treeID","Z","npoints","convhull_area","X","Y"
"1",3,0.547,153,0.163,2.73151240932356,11.3203197456764
"2",6,0.419,144,0.048,9.62760679969672,8.23315388061759
"3",7,1.152,2353,1.499,-1.74543496906106,6.7930013335722
"4",8,0.257,310,0.216,0.743407891066255,5.74195023302431
"5",16,0.539,4265,1.548,-3.72729113297776,2.24502076513467
"6",22,0.517,4588,0.244,-3.24985486854044,-0.246115546156903
"7",24,0.627,9818,0.146,0.724334601004068,-1.74574577481225
"8",26,0.476,286,0.21,-8.26778460986199,-2.26452288396125
"9",27,1.375,143,0.163,-14.2973467717883,-2.35172986938439
"10",29,1.595,4112,2.182,-4.23737379730262,-3.25185205675394
"11",31,0.489,588,0.243,-0.749297689427176,-5.25172775269686
"12",32,0.324,103,0.178,7.78463707730317,-5.21213799687636
"13",33,1.546,378,1.853,-12.6918304271471,-5.69390243031202
"14",34,0.848,198,0.184,-8.27722769552758,-6.72385881312111
"15",35,0.496,131,0.167,-8.75892322692908,-8.21258786051442
"16",36,0.385,436,0.185,-3.24671920089991,-8.72721028295152
"17",39,0.455,111,0.103,-1.19801691245148,-10.6808983669288
