"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.999,568,1.587,-6.46453080359819,13.0803558728102
"2",2,2.998,120,0.859,7.71618561184147,12.4729737005478
"3",3,2.774,544,3.375,5.01469898492188,12.6054068012071
"4",4,2.997,1361,6.332,-2.02630067771292,11.3950559578519
"5",5,2.907,70,0.551,-9.85121919740638,9.8123656079559
"6",6,2.996,739,4.599,7.21985101496951,10.4812197595595
"7",7,2.999,3740,9.725,-6.7830387435147,9.78310892642932
"8",8,2.998,6188,6.614,-0.186351125534803,9.90902799006581
"9",9,2.997,2512,6.754,2.97206855295929,8.5621204996684
"10",10,2.999,10028,5.648,0.239743207249174,8.07835803929721
"11",11,2.996,2831,7.622,6.21626475416217,7.98715904234173
"12",12,2.999,5427,7.479,-4.85168831945931,7.59573373861663
"13",13,2.999,21694,9.809,-6.2593732148729,2.78765676666124
"14",14,2.999,867,4.131,-11.9590271789278,2.1897494290582
"15",15,2.999,58690,9.849,3.78450835792352,2.2754274063916
"16",16,2.999,401063,9.819,1.2237453036645,1.25168172071953
"17",17,2.987,636,3.859,-13.6737405099718,0.814626473504262
"18",18,2.999,8944,5.83,-5.36685748826226,0.00251278393289192
"19",19,2.999,79432,8.062,-2.62819421399062,-0.689553509873278
"20",20,2.998,2626,9.276,11.2618312982674,-0.822926602453514
"21",21,2.999,34161,4.528,1.9660387267942,-2.26876180774212
"22",22,2.999,14263,9.822,-8.75585054326748,-2.77007519910944
"23",23,2.999,58719,7.145,-1.51028901526902,-2.84687434020564
"24",24,2.999,8457,9.909,6.24277862349272,-3.25180606061585
"25",25,2.956,529,3.537,13.842847872758,-2.99120023381826
"26",26,2.999,8854,7.215,-4.49288842708888,-3.81015019783773
"27",27,2.999,13333,5.604,-2.75485648027364,-4.98488902211146
"28",28,2.999,9334,9.88,-6.75305132315465,-5.25034514611738
"29",29,2.993,1169,8.968,-9.19802687447336,-8.64521921229568
"30",30,2.999,9573,8.808,-2.26995257334982,-8.73486875862483
"31",31,2.917,1324,5.31,-5.24988835911497,-9.57670417663779
"32",32,2.999,2633,3.722,8.63729784487827,-11.1443460022835
"33",33,2.988,343,3.093,-6.03360107798559,-12.9889356478958
"34",34,2.998,1057,2.924,-4.0134571867271,-13.5666300473716
"35",35,2.999,1312,1.702,6.14210298369785,-13.2068533912172
