"","treeID","Z","npoints","convhull_area","X","Y"
"1",32,1.896,7670,3.535,-5.283487637112,3.85156011574811
"2",33,0.951,19273,2.218,-0.256794803964422,3.25359163451888
"3",38,1.534,12994,2.039,-4.7013128181155,0.772094279629579
"4",45,1.558,100819,1.891,-0.316421203630576,-1.34714439218314
"5",49,1.99,3340,1.84,-7.32059249871099,-2.73890814513701
"6",51,1.23,9435,2.193,-1.76711448656248,-3.2377400960714
"7",52,1.615,22242,2.125,0.736565373979231,-3.25172052517893
"8",56,0.679,237,0.722,11.0394257091917,-4.87426219473203
"9",57,1.577,8078,2.185,-2.7385153398068,-5.23282046430238
"10",60,1.511,2908,2.144,-7.73388588716001,-5.74023542301837
"11",63,1.324,382,1.516,-4.81577314775433,-6.67087976644143
"12",64,1.796,2138,1.915,-2.21049790023567,-7.17424738490069
"13",66,0.944,124,0.187,8.25393488879837,-8.26012770053457
