"","treeID","Z","npoints","convhull_area","X","Y"
"1",2,1.841,496,1.823,-0.791582796169104,13.1729317240443
"2",20,0.55,469,1.125,6.21133718743118,4.82177988828818
"3",21,1.296,141,0.823,-8.08723210732728,4.22985134266438
"4",23,0.983,4019,1.456,2.23274447156667,3.73335147514584
"5",25,0.785,8482,1.829,-1.62017311467774,3.79781156545299
"6",27,1.234,139,0.194,-11.7332565272177,1.74194718660932
"7",31,1.251,210,0.934,10.1992551991075,-0.42165764194556
"8",33,1.731,10182,1.824,-3.67136532326357,-0.168560737210588
"9",35,1.089,20260,1.728,2.24974998762719,-0.746473438785367
"10",36,1.931,67146,1.897,-0.741421865212415,-1.35314850279792
"11",37,0.433,270,0.226,6.25093694682174,-2.26028727919972
"12",39,1.557,1088,1.447,-8.18966566685066,-2.94665131146066
"13",41,0.765,4635,1.587,2.2354458873395,-3.2171639711365
"14",43,0.502,1233,1.572,5.23907002535408,-4.74602633490012
"15",45,0.413,265,1.204,9.86561502512698,-5.73339095470085
"16",52,0.501,162,0.174,10.779550991672,-9.22972338717078
