================================================================================
  SAM ANNOTATION LOG
  Generated : 2026-04-19 14:04:01
  Train JSON: detectron2_dataset/shrub_train_sam.json
  Val JSON  : detectron2_dataset/shrub_val_sam.json
================================================================================

[TRAIN] GLOBAL SUMMARY
------------------------------------------------------------
  Patches              :      677
  Total annotations    :  118,180
  -- Shrubs (total)    :    2,158  (1.8% of all ann)
       SAM-refined     :      440  (20.4% of shrubs)
       Kept original   :    1,718
  -- Trees (hard-neg)  :   88,272
  -- Rocks (hard-neg)  :   27,750
  -- Total hard-neg    :  116,022

[VAL] GLOBAL SUMMARY
------------------------------------------------------------
  Patches              :      202
  Total annotations    :   39,411
  -- Shrubs (total)    :    2,402  (6.1% of all ann)
       SAM-refined     :      413  (17.2% of shrubs)
       Kept original   :    1,989
  -- Trees (hard-neg)  :   29,728
  -- Rocks (hard-neg)  :    7,281
  -- Total hard-neg    :   37,009

[TRAIN] PER-SITE BREAKDOWN
--------------------------------------------------------------------------------
  Site                                 Patches   Shrubs   SAMref    Trees    Rocks
  ----------------------------------------------------------------------------
  Calaveras_Big_trees                      365      104       8(   8%)    63845     7833
  DL_Bliss                                  28      175      61(  35%)     2121      978
  Independence_Lake                         97      338     112(  33%)     8414     6704
  Pacific_Union                             42      632       1(   0%)     8151       38
  Sedgwick                                 116      770     217(  28%)     3289    11017
  Shaver_Lake                               29      139      41(  29%)     2452     1180

[VAL] PER-SITE BREAKDOWN
--------------------------------------------------------------------------------
  Site                                 Patches   Shrubs   SAMref    Trees    Rocks
  ----------------------------------------------------------------------------
  Calaveras_Big_trees                       98     1012      32(   3%)    20763      639
  DL_Bliss                                  12      160      61(  38%)     1095      790
  Independence_Lake                         35      552     176(  32%)     3885     1798
  Pacific_Union                             11      178       1(   1%)     1899        8
  Sedgwick                                  35      355     112(  32%)     1153     3678
  Shaver_Lake                               11      145      31(  21%)      933      368

[TRAIN] PER-PATCH DETAIL  (677 patches)
----------------------------------------------------------------------------------------------------
  Patch                                         Site                       Shrubs  SAMref   Trees   Rocks  AvgArea
  ------------------------------------------------------------------------------------------------
  Calaveras_Big_trees_tile_107.npy              Calaveras_Big_trees             0       0      95       0      n/a
  Calaveras_Big_trees_tile_108.npy              Calaveras_Big_trees             0       0     113       5      n/a
  Calaveras_Big_trees_tile_109.npy              Calaveras_Big_trees             0       0      81      19      n/a
  Calaveras_Big_trees_tile_110.npy              Calaveras_Big_trees             0       0     183       0      n/a
  Calaveras_Big_trees_tile_111.npy              Calaveras_Big_trees             0       0     193       0      n/a
  Calaveras_Big_trees_tile_112.npy              Calaveras_Big_trees             0       0     169       0      n/a
  Calaveras_Big_trees_tile_113.npy              Calaveras_Big_trees             0       0     189       1      n/a
  Calaveras_Big_trees_tile_114.npy              Calaveras_Big_trees             0       0     169       1      n/a
  Calaveras_Big_trees_tile_115.npy              Calaveras_Big_trees             0       0     220       0      n/a
  Calaveras_Big_trees_tile_116.npy              Calaveras_Big_trees             0       0     195       0      n/a
  Calaveras_Big_trees_tile_117.npy              Calaveras_Big_trees             0       0     210       0      n/a
  Calaveras_Big_trees_tile_118.npy              Calaveras_Big_trees             0       0     182       0      n/a
  Calaveras_Big_trees_tile_119.npy              Calaveras_Big_trees             0       0     184       0      n/a
  Calaveras_Big_trees_tile_120.npy              Calaveras_Big_trees             0       0      86      22      n/a
  Calaveras_Big_trees_tile_121.npy              Calaveras_Big_trees             0       0      46      92      n/a
  Calaveras_Big_trees_tile_122.npy              Calaveras_Big_trees             0       0     159       7      n/a
  Calaveras_Big_trees_tile_123.npy              Calaveras_Big_trees             0       0     207       0      n/a
  Calaveras_Big_trees_tile_124.npy              Calaveras_Big_trees             0       0     191       0      n/a
  Calaveras_Big_trees_tile_125.npy              Calaveras_Big_trees             0       0     157      29      n/a
  Calaveras_Big_trees_tile_126.npy              Calaveras_Big_trees             0       0     172      21      n/a
  Calaveras_Big_trees_tile_127.npy              Calaveras_Big_trees             0       0     162       0      n/a
  Calaveras_Big_trees_tile_128.npy              Calaveras_Big_trees             0       0     184       2      n/a
  Calaveras_Big_trees_tile_129.npy              Calaveras_Big_trees             0       0     215       0      n/a
  Calaveras_Big_trees_tile_13.npy               Calaveras_Big_trees            16       0     254       0      3.5
  Calaveras_Big_trees_tile_130.npy              Calaveras_Big_trees             0       0     174       0      n/a
  Calaveras_Big_trees_tile_131.npy              Calaveras_Big_trees             0       0     207       1      n/a
  Calaveras_Big_trees_tile_132.npy              Calaveras_Big_trees             0       0     177       7      n/a
  Calaveras_Big_trees_tile_133.npy              Calaveras_Big_trees             0       0     253       0      n/a
  Calaveras_Big_trees_tile_134.npy              Calaveras_Big_trees             0       0     181       1      n/a
  Calaveras_Big_trees_tile_135.npy              Calaveras_Big_trees             0       0     234       3      n/a
  Calaveras_Big_trees_tile_138.npy              Calaveras_Big_trees             0       0      72      89      n/a
  Calaveras_Big_trees_tile_139.npy              Calaveras_Big_trees             0       0      97      27      n/a
  Calaveras_Big_trees_tile_14.npy               Calaveras_Big_trees            10       0     268       0      3.5
  Calaveras_Big_trees_tile_140.npy              Calaveras_Big_trees             0       0      99      21      n/a
  Calaveras_Big_trees_tile_141.npy              Calaveras_Big_trees             0       0     147      14      n/a
  Calaveras_Big_trees_tile_142.npy              Calaveras_Big_trees             0       0     191       0      n/a
  Calaveras_Big_trees_tile_143.npy              Calaveras_Big_trees             0       0     198       0      n/a
  Calaveras_Big_trees_tile_144.npy              Calaveras_Big_trees             0       0     191       0      n/a
  Calaveras_Big_trees_tile_145.npy              Calaveras_Big_trees             0       0     187       1      n/a
  Calaveras_Big_trees_tile_146.npy              Calaveras_Big_trees             0       0     210       0      n/a
  Calaveras_Big_trees_tile_147.npy              Calaveras_Big_trees             0       0     132       0      n/a
  Calaveras_Big_trees_tile_148.npy              Calaveras_Big_trees             0       0     202       0      n/a
  Calaveras_Big_trees_tile_149.npy              Calaveras_Big_trees             0       0     190       0      n/a
  Calaveras_Big_trees_tile_150.npy              Calaveras_Big_trees             0       0     184       0      n/a
  Calaveras_Big_trees_tile_151.npy              Calaveras_Big_trees             0       0     186       2      n/a
  Calaveras_Big_trees_tile_152.npy              Calaveras_Big_trees             0       0     206       0      n/a
  Calaveras_Big_trees_tile_153.npy              Calaveras_Big_trees             0       0     170       0      n/a
  Calaveras_Big_trees_tile_154.npy              Calaveras_Big_trees             0       0     145       2      n/a
  Calaveras_Big_trees_tile_155.npy              Calaveras_Big_trees             0       0     160       0      n/a
  Calaveras_Big_trees_tile_156.npy              Calaveras_Big_trees             0       0     183       4      n/a
  Calaveras_Big_trees_tile_157.npy              Calaveras_Big_trees             0       0     152       2      n/a
  Calaveras_Big_trees_tile_158.npy              Calaveras_Big_trees             0       0     162       0      n/a
